"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATAMOTORS","EQ","22-Jun-2016","        484.90","        483.05","        484.80","        468.05","        472.00","        472.70","        473.70","    7660165","          3628622070.10","      96495","    3007835","         39.27"
"TATAMOTORS","EQ","23-Jun-2016","        472.70","        476.10","        489.90","        476.10","        487.75","        487.95","        483.17","    9628216","          4652020903.20","     131019","    4226545","         43.90"
"TATAMOTORS","EQ","24-Jun-2016","        487.95","        439.20","        453.75","        421.25","        447.70","        449.40","        439.30","   40998600","         18010652362.85","     330936","   13288590","         32.41"
"TATAMOTORS","EQ","27-Jun-2016","        449.40","        451.80","        457.25","        443.60","        447.95","        448.95","        448.82","   12450283","          5587920652.45","     128652","    3745912","         30.09"
"TATAMOTORS","EQ","28-Jun-2016","        448.95","        448.00","        448.00","        433.00","        441.00","        440.40","        441.08","   10190394","          4494815903.60","     128902","    4748857","         46.60"
"TATAMOTORS","EQ","29-Jun-2016","        440.40","        447.10","        449.80","        445.40","        447.00","        447.25","        447.44","    6285461","          2812390309.15","      79651","    2624130","         41.75"
"TATAMOTORS","EQ","30-Jun-2016","        447.25","        454.30","        462.25","        451.55","        458.50","        459.25","        458.74","   13214064","          6061762348.20","     128591","    7406521","         56.05"
"TATAMOTORS","EQ","01-Jul-2016","        459.25","        463.60","        464.75","        454.70","        459.10","        457.90","        458.85","    7027759","          3224695205.70","      87253","    3438941","         48.93"
"TATAMOTORS","EQ","04-Jul-2016","        457.90","        467.00","        474.85","        467.00","        468.80","        469.50","        471.58","    8413087","          3967466086.15","     178631","    3941626","         46.85"
"TATAMOTORS","EQ","05-Jul-2016","        469.50","        468.50","        469.00","        459.50","        460.50","        460.90","        462.42","    4934087","          2281644516.30","      60419","    2419955","         49.05"
"TATAMOTORS","EQ","07-Jul-2016","        460.90","        460.95","        465.45","        454.10","        455.50","        455.15","        458.84","    6580663","          3019495422.45","      88253","    2959956","         44.98"
"TATAMOTORS","EQ","08-Jul-2016","        455.15","        464.30","        468.20","        462.65","        466.30","        466.30","        465.37","    9263727","          4311085440.40","     105310","    5229311","         56.45"
"TATAMOTORS","EQ","11-Jul-2016","        466.30","        472.10","        486.80","        472.10","        483.85","        484.60","        482.86","   10477166","          5059024780.50","     123496","    5770021","         55.07"
"TATAMOTORS","EQ","12-Jul-2016","        484.60","        486.00","        488.65","        481.10","        485.00","        484.30","        483.74","    6767972","          3273968927.70","     105966","    3797358","         56.11"
"TATAMOTORS","EQ","13-Jul-2016","        484.30","        485.95","        488.10","        477.95","        480.65","        481.10","        481.61","    5855718","          2820182186.15","      73612","    3164012","         54.03"
"TATAMOTORS","EQ","14-Jul-2016","        481.10","        480.10","        489.30","        478.95","        485.50","        486.10","        486.35","    5983007","          2909811700.00","      90559","    3185848","         53.25"
"TATAMOTORS","EQ","15-Jul-2016","        486.10","        480.00","        501.70","        479.65","        494.05","        494.00","        494.65","    8889558","          4397175835.60","     102652","    4000847","         45.01"
"TATAMOTORS","EQ","18-Jul-2016","        494.00","        495.00","        505.00","        490.00","        490.75","        492.65","        500.08","    7463954","          3732579056.75","      84910","    3373789","         45.20"
"TATAMOTORS","EQ","19-Jul-2016","        492.65","        493.90","        503.50","        493.45","        498.00","        499.25","        498.46","    7665519","          3820991770.50","      90528","    3079013","         40.17"
"TATAMOTORS","EQ","20-Jul-2016","        499.25","        496.30","        502.45","        492.45","        493.50","        493.90","        495.33","    5697901","          2822351471.85","      61459","    3160786","         55.47"
"TATAMOTORS","EQ","21-Jul-2016","        493.90","        498.45","        500.00","        489.70","        490.65","        491.05","        495.20","    3658371","          1811617520.60","      61330","    1200602","         32.82"
"TATAMOTORS","EQ","22-Jul-2016","        491.05","        494.45","        508.45","        493.50","        506.65","        507.20","        499.96","    5588143","          2793827597.75","      87836","    2352779","         42.10"
"TATAMOTORS","EQ","25-Jul-2016","        507.20","        505.50","        510.95","        503.35","        508.55","        509.00","        507.46","    4638151","          2353682354.35","      82370","    2101856","         45.32"
"TATAMOTORS","EQ","26-Jul-2016","        509.00","        506.05","        513.35","        502.10","        502.95","        503.25","        507.31","    6187499","          3139010714.70","     109884","    3390199","         54.79"
"TATAMOTORS","EQ","27-Jul-2016","        503.25","        507.75","        513.05","        505.50","        509.35","        510.10","        509.94","    5193425","          2648343230.30","      79157","    2561638","         49.32"
"TATAMOTORS","EQ","28-Jul-2016","        510.10","        510.00","        511.90","        498.75","        508.75","        506.85","        506.28","    6338260","          3208920563.40","      56741","    3723996","         58.75"
"TATAMOTORS","EQ","29-Jul-2016","        506.85","        507.80","        510.50","        501.10","        503.35","        503.20","        505.11","    3746332","          1892324650.45","      53241","    1675507","         44.72"
"TATAMOTORS","EQ","01-Aug-2016","        503.20","        506.80","        514.90","        505.50","        507.85","        508.25","        509.72","    4748497","          2420412512.15","      46864","    2043546","         43.04"
"TATAMOTORS","EQ","02-Aug-2016","        508.25","        510.00","        511.20","        491.15","        494.75","        493.30","        502.94","    5251838","          2641351409.15","      52988","    2662266","         50.69"
"TATAMOTORS","EQ","03-Aug-2016","        493.30","        494.50","        499.50","        475.50","        479.30","        478.40","        485.95","    7925049","          3851193355.55","     107700","    3896101","         49.16"
"TATAMOTORS","EQ","04-Aug-2016","        478.40","        490.10","        501.45","        488.60","        500.55","        500.00","        497.06","    9476008","          4710165705.25","     106240","    3949792","         41.68"
"TATAMOTORS","EQ","05-Aug-2016","        500.00","        507.20","        518.70","        502.15","        517.00","        516.40","        510.16","    6393514","          3261737495.20","      79925","    2368740","         37.05"
"TATAMOTORS","EQ","08-Aug-2016","        516.40","        518.20","        522.60","        513.40","        514.55","        514.80","        516.87","    4649302","          2403069792.70","     155581","    2424444","         52.15"
"TATAMOTORS","EQ","09-Aug-2016","        514.80","        521.00","        522.00","        509.20","        513.40","        513.80","        514.59","    6015760","          3095645711.25","     233468","    3368037","         55.99"
"TATAMOTORS","EQ","10-Aug-2016","        513.80","        515.60","        516.50","        502.30","        503.65","        503.45","        506.07","    6371139","          3224235666.95","     119009","    3766191","         59.11"
"TATAMOTORS","EQ","11-Aug-2016","        503.45","        503.75","        505.00","        495.10","        502.40","        503.25","        500.35","    4112806","          2057845094.25","      69675","    1569700","         38.17"
"TATAMOTORS","EQ","12-Aug-2016","        503.25","        506.90","        519.50","        506.15","        516.00","        516.80","        515.94","    7167435","          3697950023.30","      93917","    3652054","         50.95"
"TATAMOTORS","EQ","16-Aug-2016","        516.80","        512.95","        515.00","        503.30","        506.50","        507.60","        507.50","    6034295","          3062390295.40","      92379","    3517621","         58.29"
"TATAMOTORS","EQ","17-Aug-2016","        507.60","        511.10","        514.25","        505.85","        509.40","        510.40","        510.49","    5853980","          2988378055.15","      92335","    2928328","         50.02"
"TATAMOTORS","EQ","18-Aug-2016","        510.40","        512.40","        517.90","        510.75","        510.75","        512.05","        513.91","    4990558","          2564688049.00","      41295","    3117634","         62.47"
"TATAMOTORS","EQ","19-Aug-2016","        512.05","        514.00","        515.00","        508.20","        509.80","        510.00","        511.24","    4567273","          2334957085.55","      79375","    2639034","         57.78"
"TATAMOTORS","EQ","22-Aug-2016","        510.00","        509.10","        513.60","        503.10","        504.00","        503.95","        506.14","    4330313","          2191744108.85","      67141","    2463255","         56.88"
"TATAMOTORS","EQ","23-Aug-2016","        503.95","        505.25","        508.60","        500.45","        504.50","        504.00","        504.34","    5342115","          2694228177.10","     109435","    3043046","         56.96"
"TATAMOTORS","EQ","24-Aug-2016","        504.00","        504.70","        506.05","        493.60","        498.00","        498.35","        499.34","    5189459","          2591298036.40","      62646","    2574346","         49.61"
"TATAMOTORS","EQ","25-Aug-2016","        498.35","        498.35","        503.30","        491.30","        492.80","        493.85","        496.03","    8787262","          4358746299.55","     103088","    5361534","         61.01"
"TATAMOTORS","EQ","26-Aug-2016","        493.85","        502.00","        515.35","        486.00","        514.25","        503.75","        503.24","   16347856","          8226957784.10","     178575","    4858699","         29.72"
"TATAMOTORS","EQ","29-Aug-2016","        503.75","        522.50","        528.75","        515.40","        525.15","        525.30","        523.82","   12534399","          6565828469.00","     152952","    4070068","         32.47"
"TATAMOTORS","EQ","30-Aug-2016","        525.30","        528.50","        530.80","        524.10","        529.80","        529.00","        527.25","    6611147","          3485753923.20","      89229","    3169383","         47.94"
"TATAMOTORS","EQ","31-Aug-2016","        529.00","        529.00","        548.80","        529.00","        538.00","        537.70","        540.91","   15725942","          8506360153.30","     190940","    6829320","         43.43"
"TATAMOTORS","EQ","01-Sep-2016","        537.70","        540.50","        546.65","        540.00","        544.75","        543.65","        543.67","    7571854","          4116609155.00","     104353","    4460016","         58.90"
"TATAMOTORS","EQ","02-Sep-2016","        543.65","        552.00","        555.90","        549.10","        549.50","        549.85","        551.77","   10097146","          5571277135.00","     119780","    5475098","         54.22"
"TATAMOTORS","EQ","06-Sep-2016","        549.85","        556.35","        593.30","        556.35","        587.75","        588.70","        575.29","   15813178","          9097241710.10","     183624","    7273935","         46.00"
"TATAMOTORS","EQ","07-Sep-2016","        588.70","        590.00","        598.40","        584.00","        589.25","        587.40","        590.25","   13408927","          7914654539.25","     194950","    6068492","         45.26"
"TATAMOTORS","EQ","08-Sep-2016","        587.40","        590.75","        591.70","        577.75","        585.00","        584.20","        582.41","   10456258","          6089837730.80","     124853","    6400613","         61.21"
"TATAMOTORS","EQ","09-Sep-2016","        584.20","        580.00","        582.95","        571.70","        573.00","        573.25","        574.57","    7159068","          4113354913.00","     111109","    4152885","         58.01"
"TATAMOTORS","EQ","12-Sep-2016","        573.25","        551.00","        560.00","        549.25","        553.75","        553.45","        554.33","    7055294","          3910980798.65","     177951","    3695619","         52.38"
"TATAMOTORS","EQ","14-Sep-2016","        553.45","        556.25","        565.35","        544.10","        564.20","        560.50","        550.47","   12364724","          6806379991.65","     167639","    6875618","         55.61"
"TATAMOTORS","EQ","15-Sep-2016","        560.50","        562.00","        566.25","        555.40","        558.50","        557.55","        559.53","    5258859","          2942507943.35","      55639","    2150709","         40.90"
"TATAMOTORS","EQ","16-Sep-2016","        557.55","        562.40","        568.20","        546.35","        550.60","        548.70","        552.68","   10931845","          6041824892.00","      77478","    6901424","         63.13"
"TATAMOTORS","EQ","19-Sep-2016","        548.70","        553.80","        556.40","        549.45","        553.75","        554.45","        552.69","    6979269","          3857341177.95","      78552","    4517569","         64.73"
"TATAMOTORS","EQ","20-Sep-2016","        554.45","        555.00","        556.30","        545.50","        546.90","        548.45","        549.23","    6874462","          3775633922.90","      78787","    3790467","         55.14"
"TATAMOTORS","EQ","21-Sep-2016","        548.45","        548.60","        556.40","        544.00","        550.10","        549.90","        551.51","    5919149","          3264467417.10","     100973","    2553227","         43.14"
"TATAMOTORS","EQ","22-Sep-2016","        549.90","        561.20","        562.95","        551.35","        557.40","        558.45","        557.30","    6012388","          3350729309.25","      94438","    2709134","         45.06"
"TATAMOTORS","EQ","23-Sep-2016","        558.45","        558.50","        558.50","        551.20","        554.50","        553.05","        553.96","    4840360","          2681370446.85","      66250","    2788048","         57.60"
"TATAMOTORS","EQ","26-Sep-2016","        553.05","        549.95","        549.95","        533.75","        535.80","        535.30","        539.32","    6858574","          3698975288.05","     101239","    3934179","         57.36"
